date,country,continent,flights,new_cases,stringency_index
2020-01-09,Croatia,EU,53,0.0,0.0
2020-01-09,Hungary,EU,131,0.0,0.0
2020-01-09,Indonesia,AS,91,0.0,5.56
2020-01-09,Ireland,EU,311,0.0,0.0
2020-01-09,Israel,AS,179,0.0,0.0
2020-01-09,India,AS,1789,0.0,0.0
2020-01-09,Iran,AS,12,0.0,0.0
2020-01-09,Iceland,EU,31,0.0,0.0
2020-01-09,Italy,EU,1256,0.0,0.0
2020-01-09,Japan,AS,943,0.0,2.78
2020-01-09,South Korea,AS,697,0.0,0.0
2020-01-09,Kazakhstan,AS,72,0.0,0.0
2020-01-09,Lebanon,AS,57,0.0,0.0
2020-01-09,Sri Lanka,AS,82,0.0,0.0
2020-01-09,Lithuania,EU,6,0.0,0.0
2020-01-09,Luxembourg,EU,89,0.0,0.0
2020-01-09,Latvia,EU,106,0.0,0.0
2020-01-09,Malta,EU,31,0.0,0.0
2020-01-09,Malaysia,AS,731,0.0,0.0
2020-01-09,Netherlands,EU,624,0.0,0.0
2020-01-09,Norway,EU,442,0.0,0.0
2020-01-09,Philippines,AS,367,0.0,0.0
2020-01-09,Pakistan,AS,6,0.0,0.0
2020-01-09,Poland,EU,384,0.0,0.0
2020-01-09,Portugal,EU,345,0.0,0.0
2020-01-09,Qatar,AS,347,0.0,0.0
2020-01-09,Romania,EU,68,0.0,0.0
2020-01-09,Russia,EU,1134,0.0,0.0
2020-01-09,Saudi Arabia,AS,215,0.0,0.0
2020-01-09,Sweden,EU,447,0.0,0.0
2020-01-09,Singapore,AS,476,0.0,13.89
2020-01-09,Slovenia,EU,21,0.0,0.0
2020-01-09,Slovakia,EU,23,0.0,0.0
2020-01-09,Thailand,AS,672,0.0,0.0
2020-01-09,Turkey,AS,475,0.0,0.0
2020-01-09,Taiwan,AS,474,,8.33
2020-01-09,Ukraine,EU,81,0.0,0.0
2020-01-09,Vietnam,AS,16,0.0,0.0
2020-01-10,United Arab Emirates,AS,809,0.0,0.0
2020-01-10,Armenia,AS,28,0.0,
2020-01-10,Austria,EU,373,0.0,0.0
2020-01-10,Bangladesh,AS,3,0.0,0.0
2020-01-10,Belgium,EU,411,0.0,0.0
2020-01-10,Bulgaria,EU,5,0.0,0.0
2020-01-10,Bahrain,AS,117,0.0,0.0
2020-01-10,Brunei,AS,26,0.0,11.11
2020-01-10,Belarus,EU,39,0.0,0.0
2020-01-10,Switzerland,EU,698,0.0,0.0
2020-01-10,China,AS,416,0.0,2.78
2020-01-10,Czechia,EU,182,0.0,0.0
2020-01-10,Germany,EU,2351,0.0,0.0
2020-01-10,Denmark,EU,406,0.0,0.0
2020-01-10,Estonia,EU,39,0.0,0.0
2020-01-10,Spain,EU,1203,0.0,0.0
2020-01-10,Finland,EU,303,0.0,0.0
2020-01-10,France,EU,1529,0.0,0.0
2020-01-10,United Kingdom,EU,2692,0.0,0.0
2020-01-10,Greece,EU,104,0.0,0.0
2020-01-10,Hong Kong,AS,498,,13.89
2020-01-10,Croatia,EU,19,0.0,0.0
2020-01-10,Hungary,EU,151,0.0,0.0
2020-01-10,Indonesia,AS,100,0.0,5.56
2020-01-10,Ireland,EU,345,0.0,0.0
2020-01-10,Israel,AS,135,0.0,0.0
2020-01-10,India,AS,1782,0.0,0.0
2020-01-10,Iran,AS,15,0.0,0.0
2020-01-10,Iceland,EU,56,0.0,0.0
2020-01-10,Italy,EU,1345,0.0,0.0
2020-01-10,Japan,AS,894,0.0,2.78
2020-01-10,South Korea,AS,720,0.0,0.0
2020-01-10,Kazakhstan,AS,63,0.0,0.0
